MTU (CET),Day-ahead Price [EUR/MWh]
"31.05.2020 00:00 - 31.05.2020 01:00,""11.88"""
"31.05.2020 01:00 - 31.05.2020 02:00,""11.60"""
"31.05.2020 02:00 - 31.05.2020 03:00,""11.76"""
"31.05.2020 03:00 - 31.05.2020 04:00,""11.09"""
"31.05.2020 04:00 - 31.05.2020 05:00,""8.83"""
"31.05.2020 05:00 - 31.05.2020 06:00,""7.15"""
"31.05.2020 06:00 - 31.05.2020 07:00,""5.56"""
"31.05.2020 07:00 - 31.05.2020 08:00,""6.12"""
"31.05.2020 08:00 - 31.05.2020 09:00,""2.58"""
"31.05.2020 09:00 - 31.05.2020 10:00,""2.70"""
"31.05.2020 10:00 - 31.05.2020 11:00,""0.10"""
"31.05.2020 11:00 - 31.05.2020 12:00,""1.05"""
"31.05.2020 12:00 - 31.05.2020 13:00,""0.85"""
"31.05.2020 13:00 - 31.05.2020 14:00,""-7.68"""
"31.05.2020 14:00 - 31.05.2020 15:00,""-15.00"""
"31.05.2020 15:00 - 31.05.2020 16:00,""-10.00"""
"31.05.2020 16:00 - 31.05.2020 17:00,""-5.65"""
"31.05.2020 17:00 - 31.05.2020 18:00,""0.69"""
"31.05.2020 18:00 - 31.05.2020 19:00,""4.98"""
"31.05.2020 19:00 - 31.05.2020 20:00,""12.54"""
"31.05.2020 20:00 - 31.05.2020 21:00,""13.45"""
"31.05.2020 21:00 - 31.05.2020 22:00,""14.06"""
"31.05.2020 22:00 - 31.05.2020 23:00,""21.60"""
"31.05.2020 23:00 - 01.06.2020 00:00,""15.20"""
