"MTU (CET),""Day-ahead Price [EUR/MWh]"""
"03.06.2020 00:00 - 03.06.2020 01:00,""25.54"""
"03.06.2020 01:00 - 03.06.2020 02:00,""24.00"""
"03.06.2020 02:00 - 03.06.2020 03:00,""22.72"""
"03.06.2020 03:00 - 03.06.2020 04:00,""20.87"""
"03.06.2020 04:00 - 03.06.2020 05:00,""19.27"""
"03.06.2020 05:00 - 03.06.2020 06:00,""20.11"""
"03.06.2020 06:00 - 03.06.2020 07:00,""27.39"""
"03.06.2020 07:00 - 03.06.2020 08:00,""43.41"""
"03.06.2020 08:00 - 03.06.2020 09:00,""35.48"""
"03.06.2020 09:00 - 03.06.2020 10:00,""31.07"""
"03.06.2020 10:00 - 03.06.2020 11:00,""28.72"""
"03.06.2020 11:00 - 03.06.2020 12:00,""28.00"""
"03.06.2020 12:00 - 03.06.2020 13:00,""27.23"""
"03.06.2020 13:00 - 03.06.2020 14:00,""25.27"""
"03.06.2020 14:00 - 03.06.2020 15:00,""25.58"""
"03.06.2020 15:00 - 03.06.2020 16:00,""26.04"""
"03.06.2020 16:00 - 03.06.2020 17:00,""25.78"""
"03.06.2020 17:00 - 03.06.2020 18:00,""26.18"""
"03.06.2020 18:00 - 03.06.2020 19:00,""29.41"""
"03.06.2020 19:00 - 03.06.2020 20:00,""39.04"""
"03.06.2020 20:00 - 03.06.2020 21:00,""38.76"""
"03.06.2020 21:00 - 03.06.2020 22:00,""31.80"""
"03.06.2020 22:00 - 03.06.2020 23:00,""27.71"""
"03.06.2020 23:00 - 04.06.2020 00:00,""23.99"""
